     1→"slug","name","sanskrit","category","tradition","level","duration_hours","days","authenticity_score","summary","primary_mantra","lineage","benefits","warnings","evidence_count","evidence_sources"
    26→"tara-ugra-sadhana","Tārā (Ugra) Sādhana","उग्रतारा — The Fierce Hindu Tārā","Tantra","Śākta (Daśa Mahāvidyā)","Advanced","24","45","83","The second Mahāvidyā, the Hindu Ugra Tārā form — distinct from Tibetan Green Tārā — depicted standing on a corpse in the cremation ground. Attested in the Bṛhad Nīla Tantra and the Tārā Tantra.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'oṃ hrīṁ strīṁ hūṃ phaṭ'","Bṛhad Nīla Tantra (multiple Internet Archive editions) → Tārā Tantra → Ekajaṭā Tārā Sādhana Tantra (Khandelwal 2001) → modern Śākta paddhatis. Academic: Kinsley 1997, Padoux 1990, Goudriaan & Gupta 1981.","Documents the Hindu Ugra Tārā form (distinct from the Tibetan traditions) ; Surfaces the Bṛhad Nīla Tantra as the primary textual witness ; Connects to academic work by Kinsley and Padoux","HIGH CAUTION — advanced Mahāvidyā practice; traditionally requires dīkṣā ; The Hindu Ugra Tārā is a fierce cremation-ground form; the textual tradition warns against casual undertaking ; The mūla-mantra is dīkṣā-restricted in the Bṛhad Nīla Tantra editions ; Not appropriate for practitioners without a Śākta lineage grounding; not to be confused with the Tibetan Buddhist Tārā practices","6","[high] Bṛhad Nīla Tantra (Kak & Shastri 1938 ed., Internet Archive) (primary) — https://archive.org/details/brihad-nila-tantra | [high] Bṛhad Nīla Tantra (DLI / JaiGyan edition) (primary) — https://archive.org/details/brihad-nila-tantra-dli | [high] Bṛhad Nīla Tantra (Madhusudan Kaul ed., Chaukhamba / DLI) (primary) — https://archive.org/details/brihad-nila-tantra-kaul | [medium] Ekajaṭā Tārā Sādhana Tantra (Khandelwal, 2001) (primary) | [high] Kinsley, Tantric Visions of the Divine Feminine (1997, ch. 4) (scholarly) | [high] A. Padoux, Vac: The Concept of the Word in Selected Hindu Tantras (SUNY, 1990) (scholarly)"
    27→"tripura-bhairavi-sadhana","Tripura Bhairavī Sādhana","त्रिपुरभैरवी — The Fierce Form of Tripurasundarī","Tantra","Śrī Vidyā (Śākta)","Advanced","24","45","84","The sixth Mahāvidyā, the fierce form of Tripurasundarī in the Śrī Vidyā canon. Attested in Śāradā Tilaka ch. 11 and the Paraśurāma Kalpasūtra.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'aim̐ hrīṁ srīṁ tripura bhairavyai namaḥ'","Śāradā Tilaka ch. 11 (multiple Internet Archive editions) → Paraśurāma Kalpasūtra (4 Internet Archive editions) → Tripura Bhairavī Rahasya → modern Śrī Vidyā paddhatis. Academic: Padoux 1990, Brooks 1990, S.K. Ramachandra Rao 1998.","Documents the fierce form of the Śrī Vidyā Goddess ; Surfaces Śāradā Tilaka ch. 11 as the primary textual witness (with multiple Internet Archive editions) ; Connects to academic work by Padoux, Brooks, and Ramachandra Rao","HIGH CAUTION — advanced Śrī Vidyā practice; traditionally requires dīkṣā ; The fierce form is held to require precise pronunciation and stable psychological grounding; the source texts warn that incorrect japa is destabilising rather than merely ineffective ; The mūla-mantra is dīkṣā-restricted in published editions ; Not appropriate for practitioners without a Śrī Vidyā lineage holder","7","[high] Śāradā Tilaka ch. 11 (Malaviya ed., Internet Archive) (primary) — https://archive.org/details/sarada-tilaka | [high] Śāradā Tilaka (Avalon 1933 PDF edition) (primary) — https://archive.org/details/sarada-tilaka-avalon-1933 | [high] Paraśurāma Kalpa Sūtra (Sampurnanand + Vṛtti + Nīrakṣīra-Viveka, Internet Archive) (primary) — https://archive.org/details/parashurama-kalpa-sutra | [high] Paraśurāma Kalpa Sūtra (S.Y. Dave + Rāmeśvara commentary, Internet Archive) (primary) — https://archive.org/details/parashurama-kalpa-sutra-dave | [high] A. Padoux, Vac (SUNY, 1990) (scholarly) | [high] Douglas Brooks, Auspicious Wisdom: The Texts and Traditions of Śrīvidyā Śākta Tantrism (SUNY, 1990) (scholarly) | [high] S.K. Ramachandra Rao, Śrī Vidyā (Kalpatharu, 1998) (scholarly)"
    28→"smasana-bhairavi-sadhana","Smāśāna Bhairavī Sādhana","श्मशानभैरवी — The Cremation-Ground Goddess","Tantra","Śaiva-Śākta (Bhairavī strand)","Advanced","24","41","80","Sādhana of Smāśāna Bhairavī — the cremation-ground form of the Goddess in the Bhairavī strand of Śaiva-Śākta tantra. Attested in the Brahmayāmala Tantra and the Jayadrathayāmala.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'oṃ hrīṁ hūṃ smāśāna bhairavyai namaḥ'","Brahmayāmala Tantra (Hatley 2018 critical edition) → Jayadrathayāmala → modern Śaiva-Śākta paddhatis. Academic: Hatley 2007 (PhD thesis), Hatley 2018 (critical edition), Sanderson 1988, Csaba Kiss journal articles.","Documents the cremation-ground form of the Bhairavī strand ; Surfaces the Brahmayāmala Tantra as the primary textual witness (with Hatley's critical edition) ; Connects to substantial academic work by Hatley, Sanderson, and Kiss","HIGH CAUTION — cremation-ground Śākta practice; traditionally requires dīkṣā ; The textual tradition explicitly requires the śmaśāna setting; without proper preliminaries and supervision the rite is held to be psychologically destabilising ; The mūla-mantra is dīkṣā-restricted in published editions ; Not appropriate for practitioners without a Śaiva-Śākta lineage grounding and direct supervision","4","[high] Brahmayāmala Tantra (Hatley 2018 critical edition, Institute of Prakrit, Jainology & Aesthetics) (primary) — https://archive.org/details/brahmayamala-hatley | [high] Shaman Hatley, The Brahmayāmalatantra and Early Śaiva Cult of Yoginīs (PhD diss., 2007) (scholarly) — https://archive.org/details/brahmayamala-hatley-thesis | [high] Alexis Sanderson, 'Śaivism and the Tantric Traditions' (1988) (scholarly) | [medium] Csaba Kiss, journal articles on the Brahmayāmala tradition (Cardiff ALT) (scholarly)"
    29→"guhyakali-sadhana","Guhyakālī Sādhana","गुह्यकाली — The Secret Kālī","Tantra","Śākta-Kālī (Mahākāla Saṃhitā)","Advanced","24","60","82","Sādhana of Guhyakālī — the 'Secret Kālī' in her 64-fold form, iconographically depicted with ten arms and fifty heads. Attested in the Guhyakālī Tantra and the Mahākāla Saṃhitā Guhyakālī Khaṇḍa.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'oṃ hrīṁ klīṁ hūṃ guhyakālyai namaḥ'","Guhyakālī Tantra → Mahākāla Saṃhitā Guhyakālī Khaṇḍa (6+ Internet Archive editions + Chaukhamba Surbharati 2-vol. printed edition) → modern Śākta-Kālī paddhatis. Academic: Goudriaan & Gupta 1981, White 2003, McDermott 2001.","Documents one of the most elaborate Śākta-Kālī sādhanas ; Surfaces the Mahākāla Saṃhitā Guhyakālī Khaṇḍa as the primary textual witness (with 6+ Internet Archive editions) ; Connects to academic work on the Kālī tradition (White, McDermott, Goudriaan-Gupta)","HIGH CAUTION — advanced Śākta-Kālī practice; traditionally requires dīkṣā ; The 64-fold form is held to require sustained prior Kālī practice and a stable contemplative foundation ; The mūla-mantra is dīkṣā-restricted in all published editions ; The 'secret' (guhya) framing is not marketing — the textual tradition explicitly restricts the operational details to dīkṣā recipients ; Not appropriate for practitioners without a Śākta-Kālī lineage grounding","7","[high] Mahākāla Saṃhitā — Guhyakālī Khaṇḍa (Gopinath Allahabad Block / IGNCA 69227, Internet Archive) (primary) — https://archive.org/details/mahakala-samhita-guhyakali-1 | [high] Mahākāla Saṃhitā — Guhyakālī Khaṇḍa (DLI 552568, Internet Archive) (primary) — https://archive.org/details/mahakala-samhita-guhyakali-2 | [high] Mahākāla Saṃhitā — Guhyakālī Khaṇḍa (Kishor Nath Jha RSS Part 2, Internet Archive) (primary) — https://archive.org/details/mahakala-samhita-guhyakali-3 | [high] Mahākāla Saṃhitā — Guhyakālī Khaṇḍa (Chaukhamba Surbharati 2-vol. printed edition, 917 pp.) (primary) | [high] Goudriaan & Gupta, Hindu Tantric and Śākta Literature (Harrassowitz, 1981) (scholarly) | [high] D.G. White, Kiss of the Yoginī (Chicago, 2003) (scholarly) | [medium] Rachel McDermott, Singing to the Goddess: Poems to Kālī and Umā from Bengal (Oxford, 2001) (scholarly)"
    30→"dakshina-kali-sadhana","Dakṣiṇa Kālī Sādhana","दक्षिणकाली — The Benevolent Fierce Form","Tantra","Śākta (Daśa Mahāvidyā — first)","Advanced","24","45","88","The primary Mahāvidyā form of Kālī — the first of the ten Mahāvidyās, iconographically depicted standing on Śiva, four-armed, holding a cleaver and a severed head, wearing a garland of severed heads and a skirt of severed arms. Attested in the Karpūrādi Stotra, Kālī Tantra, Todala Tantra.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'oṃ krīṁ hrīṁ hūṃ dakṣiṇa kālike namaḥ'","Karpūrādi Stotra (with Vimalānanda commentary, Woodroffe TTS 9, 1953) → Kālī Tantra (Mālavīya Chowkhamba + Dīkṣit editions) → Todala Tantra → Mahānirvāṇa Tantra (Avalon 1913) → modern Śākta paddhatis. Academic: Kinsley 1997, Goudriaan & Gupta 1981, White 2003, McDermott 2001.","Documents the primary and most foundational Kālī sādhana ; Surfaces the Karpūrādi Stotra and Kālī Tantra as primary textual witnesses ; Connects to substantial academic literature (Kinsley, White, McDermott)","HIGH CAUTION — advanced Mahāvidyā practice; traditionally requires dīkṣā ; The Kālī Tantra prescribes specific nyāsa, āvāhana, and protective preliminaries; without these the japa is held to be ineffective or destabilising ; The mūla-mantra is dīkṣā-restricted in all published editions ; Not appropriate for practitioners without a Śākta-Kālī lineage grounding","6","[high] Karpūrādi-Stotra with Vimalānanda commentary (Woodroffe, Tantric Texts Series 9, 1953) (primary) — https://archive.org/details/karpuradi-stotra-tts9 | [high] Kālī Tantra (Mālavīya Chowkhamba + Dīkṣit editions, Internet Archive) (primary) — https://archive.org/details/kali-tantra | [high] Todala Tantra (ch. 6, mūla-mantras of the 10 Mahāvidyās) (primary) — https://archive.org/details/todala-tantra | [high] Mahānirvāṇa Tantra (Avalon 1913 ed.) (primary) — https://archive.org/details/mahanirvana-tantra-avalon-1913 | [high] D. Kinsley, Tantric Visions of the Divine Feminine (UC Press, 1997, ch. 2) (scholarly) | [high] D.G. White, Kiss of the Yoginī (Chicago, 2003) (scholarly)"
    31→"shodashi-tripurasundari-sadhana","Ṣoḍaśī / Tripurasundarī Sādhana","षोडशी — The Sixteen-Year-Old Goddess","Tantra","Śrī Vidyā (Śākta)","Advanced","24","45","90","The full pañcadaśākṣarī (15-syllable) sādhana of Tripurasundarī — the beautiful sixteen-year-old form of the Goddess, the central deity of Śrī Vidyā. Attested in the Vāmakeśvara Tantra, Bhāvanā Upaniṣad, Paraśurāma Kalpasūtra.","the pañcadaśākṣarī (15-syllable) is dīkṣā-restricted in all published editions; the operational form is never written down and is given orally in dīkṣā","Vāmakeśvara Tantra / Nityāṣoḍaśikārṇava (6 Internet Archive editions) → Bhāvanā Upaniṣad → Paraśurāma Kalpasūtra (4 Internet Archive editions) + Rāmeśvara Sūtri commentary → Lalitā Sahasranāma + Bhāskararāya's Saubhāgya-Bhāskara (Adyar 1925) → modern Śrī Vidyā paddhatis. Academic: Padoux 1990, Brooks 1990, S.K. Ramachandra Rao 1998, Madhu Khanna 1979.","Documents the central sādhana of the Śrī Vidyā canon ; Surfaces the Vāmakeśvara Tantra and Paraśurāma Kalpasūtra as primary textual witnesses (with 6+ Internet Archive editions) ; Connects to substantial academic literature (Padoux, Brooks, Rao, Khanna)","HIGH CAUTION — advanced Śrī Vidyā practice; traditionally requires dīkṣā ; The pañcadaśākṣarī is held to require precise pronunciation and stable contemplative grounding; the source texts warn that incorrect japa is destabilising rather than merely ineffective ; The mūla-mantra is dīkṣā-restricted in all published editions — it is given orally and never written down ; The Bālā Tripurasundarī sādhana is traditionally the prerequisite; without that foundation, Ṣoḍaśī practice is held to be premature ; Not appropriate for practitioners without a Śrī Vidyā lineage holder","9","[high] Vāmakeśvara Tantra / Nityāṣoḍaśikārṇava (Anandāśrama 56, Internet Archive) (primary) — https://archive.org/details/vamakeshvara-tantra-anandashrama-56 | [high] Vāmakeśvara Tantra (Sampurnanand 1985 ed., Internet Archive) (primary) — https://archive.org/details/vamakeshvara-tantra-sampurnanand-1985 | [high] Vāmakeśvarī Mātam with Jayaratha's Vivaraṇa (trans. Sampath Sharma) (primary) — https://archive.org/details/vamakeshvari-matam-jayaratha | [high] Bhāvanā Upaniṣad (Śrī Cakra and pañcadaśī) (primary) | [high] Paraśurāma Kalpa Sūtra (4 Internet Archive editions, c. 10th-11th c.) (primary) — https://archive.org/details/parashurama-kalpa-sutra | [high] Lalitā Sahasranāma with Bhāskararāya's Saubhāgya-Bhāskara (Adyar 1925) (primary) — https://archive.org/details/lalita-sahasranama-saubhagya-bhaskara | [high] A. Padoux, Vac (SUNY, 1990) (scholarly) | [high] D. Brooks, Auspicious Wisdom: The Texts and Traditions of Śrīvidyā Śākta Tantrism (SUNY, 1990) (scholarly) | [high] S.K. Ramachandra Rao, Śrī Vidyā (Kalpatharu, 1998) (scholarly)"
    32→"bhuvaneshvari-sadhana","Bhuvaneśvarī Sādhana","भुवनेश्वरी — Queen of the Universe","Tantra","Śākta (Daśa Mahāvidyā — fourth)","Advanced","24","45","85","The fourth Mahāvidyā, the 'Queen of the Universe' form of the Goddess — three-eyed, four-armed, holding a noose and a goad, seated on a throne. Attested in Śāradā Tilaka, Bhuvaneśvarī Tantra, and the Rudrayāmala.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'hrīṁ bhuvaneśvaryai namaḥ'","Śāradā Tilaka (4 Internet Archive editions) → Bhuvaneśvarī Tantra (Dīkṣit edition) → Rudrayāmala (Bhuvaneśvarī Aṣṭakam) → Tantradarśana evam Bhuvaneśvarī Sādhana (Rakesh) → Śākta Praamoda → modern Śākta paddhatis. Academic: Kinsley 1997, Goudriaan & Gupta 1981, Bisschop 2006.","Documents the fourth Mahāvidyā — the sovereign creative form of the Goddess ; Surfaces the Śāradā Tilaka and Bhuvaneśvarī Tantra as primary textual witnesses (with multiple Internet Archive editions) ; Connects to academic work by Kinsley, Goudriaan-Gupta, and Bisschop","HIGH CAUTION — advanced Mahāvidyā practice; traditionally requires dīkṣā ; The mūla-mantra is dīkṣā-restricted in published editions ; Not appropriate for practitioners without a Śākta lineage grounding","5","[high] Śāradā Tilaka (4 Internet Archive editions: Malaviya, Avalon 1933, DLI, Sri Satguru 1988) (primary) — https://archive.org/details/sarada-tilaka | [high] Bhuvaneśvarī Tantra (in Dīkṣit's paired Chinnamastā evam Bhuvaneśvarī Tantra Śāstra) (primary) — https://archive.org/details/chinnamasta-bhuvaneshvari-tantra-dikshit | [high] Bhuvaneśvarī Aṣṭakam (of Rudrayāmala) (primary) — https://archive.org/details/rudrayamala-bhuvaneshvari-ashtakam | [high] D. Kinsley, Tantric Visions of the Divine Feminine (1997, ch. 5) (scholarly) | [medium] P. Bisschop, Early Śaivism and the Skandapurāṇa (2006) (scholarly)"
    33→"kamala-sadhana","Kamalā Sādhana","कमला — The Lotus Goddess","Tantra","Śākta (Daśa Mahāvidyā — tenth)","Intermediate","18","41","82","The tenth Mahāvidyā, the benevolent lotus-seated form — iconographically akin to Lakṣmī, bathed by two elephants, holding lotuses. Attested in Kamalā Mahāvidyā, Śākta Praamoda, Mahābhāgavata Purāṇa.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'aim̐ hrīṁ srīṁ kamalāyai namaḥ'","Kamalā Mahāvidyā (Goswami Prahlad Giri, Chowkhamba) → Śākta Praamoda (3 editions) → Daśa Mahāvidyā Tantra-Sāra (Yogiraj Yashpal) → Mahābhāgavata Purāṇa → modern Śākta paddhatis. Academic: Kinsley 1997, 1986; Goudriaan & Gupta 1981.","Documents the tenth Mahāvidyā — the benevolent lotus-seated form ; Surfaces the Kamalā Mahāvidyā and Śākta Praamoda as primary textual witnesses ; Connects to academic work by Kinsley and Goudriaan-Gupta","MODERATE CAUTION — benevolent Mahāvidyā form, but still requires dīkṣā for mūla-mantra ; The mūla-mantra is dīkṣā-restricted in published editions ; The Kamalā form is sometimes confused with Vaiṣṇava Lakṣmī worship; the two share iconography but differ in theological framework","5","[high] Kamalā Mahāvidyā (Goswami Prahlad Giri, Chowkhamba) (primary) — https://archive.org/details/kamala-mahavidya-giri | [high] Śākta Praamoda (3 editions, Internet Archive) (primary) — https://archive.org/details/sakta-pramoda | [medium] Daśa Mahāvidyā Tantra-Sāra (Yogiraj Yashpal) (primary) — https://archive.org/details/dasa-mahavidya-tantra-sara | [high] D. Kinsley, Tantric Visions of the Divine Feminine (1997, ch. 9) (scholarly) | [high] D. Kinsley, Hindu Goddesses (UC Press, 1986) (scholarly)"
    34→"bhairavi-proper-sadhana","Bhairavī Sādhana (Proper)","भैरवी — The Teacher Goddess","Tantra","Śākta (Daśa Mahāvidyā — fifth)","Advanced","24","45","83","The fifth Mahāvidyā in her proper form — distinct from Tripura Bhairavī — seated on a corpse, holding a rosary and a book, embodying the teacher aspect of the Goddess. Attested in Bhairavī Tantra, Rudrayāmala, Śāradā Tilaka.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'hrīṁ bhairavyai namaḥ'","Bhairavī evam Dhūmāvatī Tantra Śāstra (Dīkṣit edition, archive.org) → Rudrayāmala Tantram → Śāradā Tilaka (Bhairavī chapter, 4 editions) → Śākta Praamoda → modern Śākta paddhatis. Academic: Kinsley 1997, 1986; Goudriaan & Gupta 1981; S.K. Ramachandra Rao 1994.","Documents the fifth Mahāvidyā in her proper (teacher) form, distinct from Tripura Bhairavī ; Surfaces the Śāradā Tilaka Bhairavī chapter and the Dīkṣit paired edition as primary textual witnesses ; Connects to academic work by Kinsley, Rao, and Goudriaan-Gupta","HIGH CAUTION — advanced Mahāvidyā practice; traditionally requires dīkṣā ; The mūla-mantra is dīkṣā-restricted in all published editions ; The Bhairavī (proper) form is sometimes confused with Tripura Bhairavī (the sixth Mahāvidyā); the two are distinct textual lineages with overlapping iconography ; Not appropriate for practitioners without a Śākta lineage grounding","5","[high] Bhairavī evam Dhūmāvatī Tantra Śāstra (Pt. Rajesh Dīkṣit, archive.org direct PDF) (primary) — https://archive.org/details/bhairavi-dhumavati-tantra-dikshit | [high] Rudrayāmala Tantram (Internet Archive) (primary) — https://archive.org/details/rudrayamala-tantram | [high] Śāradā Tilaka, Bhairavī chapter (4 editions) (primary) — https://archive.org/details/sarada-tilaka | [high] D. Kinsley, Tantric Visions of the Divine Feminine (1997) (scholarly) | [medium] S.K. Ramachandra Rao, Encyclopaedia of Indian Iconography (Kalpatharu, 1994) (scholarly)"
    35→"lakulisha-pashupata-sadhana","Lakulīśa Pāśupata Sādhana","लाकुलीश पाशुपत — The Pāśupata Ascetic Path","Tantra","Śaiva (Pāśupata)","Advanced","0","0","86","The Pāśupata Śaiva ascetic path attributed to Lakulīśa (2nd c. CE) — the elder Śaiva tradition that influenced later tantra. Attested in the Pāśupata Sūtras with Kauṇḍinya's Pañcārthabhāṣya (Trivandrum Sanskrit Series 143, 1940).","the Pāśupata path is primarily a vows-and-conduct framework rather than a mantra-centric sādhana; the Pāśupata Sūtras do not document a mūla-mantra in the tantric sense. The Namaskāra to Śiva (Namaḥ Śivāya) is the public pañcākṣara used in the Pāśupata preliminaries.","Lakulīśa (c. 2nd c. CE, historically attested in the Karvan inscription) → Pāśupata Sūtras + Kauṇḍinya's Pañcārthabhāṣya (TSS 143, 1940) → modern Pāśupata orders. Academic: Ingalls 1962 (HJAS), Sanderson 1985 & 2009, Bisschop 2006.","Documents the oldest surviving Śaiva ascetic path with strong textual attestation ; Surfaces the Pāśupata Sūtras with Kauṇḍinya's Pañcārthabhāṣya as the primary textual witness (3 Internet Archive digitisations) ; Connects to substantial academic literature (Ingalls, Sanderson, Bisschop) ; Fills the pre-tantric Śaiva foundation that contextualises later Mahāvidyā practice","HIGH CAUTION — extreme ascetic practice; traditionally requires formal initiation into a Pāśupata order ; The stage-bound conduct (ācāra) includes paradoxical behaviours (acting as if mad, deliberately attracting contempt) that are destabilising if undertaken without supervision ; The Pāśupata path is not mantra-centric in the tantric sense; do not impose tantric frameworks on it ; Not appropriate for practitioners without a Pāśupata lineage holder; this is a scholarly entry-point, not a practice manual","5","[high] Pāśupata Sūtras with Kauṇḍinya's Pañcārthabhāṣya, Trivandrum Sanskrit Series 143 (1940, ed. Ananta Kṛṣṇa Śāstrī) (primary) — https://archive.org/details/pashupata-sutras-tss-143 | [high] Pashupat Sutram (Chakrapani Trivedi ed., Shaiva Bharati Varanasi #54) (primary) — https://archive.org/details/pashupat-sutram-trivedi | [high] Daniel Ingalls, 'Cynics and Pāśupatas' (HJAS, 1962) (scholarly) | [high] Alexis Sanderson, 'Śaivism and the Tantric Traditions' (1985); 'The Śaiva Exegesis of Kashmir' (2009) (scholarly) | [medium] Peter Bisschop, Early Śaivism and the Skandapurāṇa (2006) (scholarly)"
    36→"matsyendranath-nath-sadhana","Matsyendranāth / Nāth Sādhana","मत्स्येन्द्रनाथ — The Nāth Siddha Tradition","Tantra","Nāth (Śaiva-Yogic)","Advanced","0","0","84","The Nāth Siddha tradition attributed to Matsyendranāth — the yogic-astral-body lineage that influenced Haṭha Yoga and the later tantric traditions. Attested in the Kaulajñānanirṇaya, Swacchanda Tantra with Kṣemarāja's commentary, and the Khecarīvidyā.","the Nāth tradition is primarily a yoga-and-astral-body framework rather than a single-mantra sādhana; the So'ham (I am That) breath-mantra is the public core practice. Specific bījas are dīkṣā-restricted.","Matsyendranāth (c. 9th-10th c. CE) → Gorakhnāth → Nāth order (Kānphaṭa yogis) → modern Nāth orders. Textual: Kaulajñānanirṇaya (4 Internet Archive editions) → Swacchanda Tantra + Kṣemarāja commentary (2 editions) → Kālīvilāsa Tantra → Haṭha Yoga Pradīpikā (later synthesis). Academic: White 1996, 2003, 2009; Mallinson 2007, 2017; Dasgupta 1946, 1962; Mallik 1954; Briggs 1938.","Documents the foundational Śaiva-yogic lineage that shaped Haṭha and Laya Yoga ; Surfaces the Kaulajñānanirṇaya and Swacchanda Tantra as primary textual witnesses (with multiple Internet Archive editions) ; Connects to substantial academic literature (White, Mallinson, Dasgupta) ; Fills the pre-Haṭha-Yoga-Pradīpikā context for the cakra/nāḍī/kuṇḍalinī framework","HIGH CAUTION — advanced yogic-astral-body practice; traditionally requires dīkṣā into a Nāth order ; The kuṇḍalinī framework is held to require supervision; unsupervised practice is held to risk 'kuṇḍalinī imbalance' (a documented psychophysiological phenomenon in the academic literature) ; The khecarīmudrā (tongue-extension) practice involves physical manipulation and should not be undertaken without direct instruction ; The Nāth tradition is historically entangled with the Kaula and Sahajiyyā traditions; do not collapse them — they share roots but have distinct framings","7","[high] Kaulajñānanirṇaya (Bagchi Calcutta Sanskrit Series, Internet Archive) (primary) — https://archive.org/details/kaulajnananirnaya-bagchi | [high] Kaulajñānanirṇaya (DLI Nepal-manuscript corpus 1934) (primary) — https://archive.org/details/kaulajnananirnaya-dli-nepal | [high] Swacchanda Tantra with Kṣemarāja's commentary (2 Internet Archive editions) (primary) — https://archive.org/details/svacchanda-tantra-kshemaraja | [high] D.G. White, The Alchemical Body (Chicago, 1996) (scholarly) | [high] J. Mallinson, Khecarīvidyā of Ādinātha (Routledge, 2007) (scholarly) | [high] J. Mallinson & M. Singleton, Roots of Yoga (Penguin, 2017) (scholarly) | [medium] S. Dasgupta, Obscure Religious Cults (1946, 1962) (scholarly)"
    37→"shanti-karma","Śānti Karma (Pacification)","शान्तिकर्म — The Pacifying Act","Tantra","Śākta / Ṣaṭ-karma","Intermediate","16","41","85","The first of the six ṣaṭ-karma — pacification. The calming of hostile forces, the settling of disturbances, the restoration of equilibrium. Attested in the Agni Purāṇa ch. 138, Prapañcasāra Tantra, Śāradā Tilaka.","the mūla-mantra varies by lineage; the publicly attested form is 'oṃ śāntiṁ kuru kuru svāhā'","Agni Purāṇa ch. 138 → Prapañcasāra Tantra (Avalon 1919, TTS 18) → Mahānirvāṇa Tantra Ch. VIII → Śāradā Tilaka → modern paddhatis. Academic: Goudriaan & Gupta 1981, Sanderson 2009.","Documents the gentlest of the six ṣaṭ-karma — the only saumya member ; Surfaces the Agni Purāṇa ch. 138 and Prapañcasāra Tantra as primary textual witnesses ; Provides the category-framework context for the other five ṣaṭ-karma","MODERATE CAUTION — the gentlest ṣaṭ-karma, but still requires dīkṣā for the mūla-mantra ; The Agni Purāṇa prescribes specific kalāśa material (clay) and color (white); without these the rite is held to be ineffective ; Not appropriate for practitioners without a Śākta lineage grounding","0",""
    38→"vashikarana-karma","Vaśīkaraṇa Karma (Subjugation)","वशीकरणकर्म — The Subduing Act","Tantra","Śākta / Ṣaṭ-karma","Advanced","24","41","80","The second of the six ṣaṭ-karma — subjugation. Bringing someone under one's influence. Attested in the Agni Purāṇa, Prapañcasāra Tantra, Rudrayāmala, Mantra Mahodadhi.","the mūla-mantra is dīkṣā-restricted in published editions","Agni Purāṇa → Prapañcasāra → Rudrayāmala → Mantra Mahodadhi → modern paddhatis. Academic: Goudriaan & Gupta 1981, White 2003.","Documents the second ṣaṭ-karma — the subjugation category ; Surfaces the Rudrayāmala and Mantra Mahodadhi as primary textual witnesses","HIGH CAUTION — ugra ṣaṭ-karma; traditionally requires dīkṣā ; The Mahānirvāṇa Tantra prescribes the sphaṭika (crystal) kalāśa; without it the rite is held to be ineffective ; Not appropriate for practitioners without a Śākta lineage grounding","0",""
    39→"stambhana-karma","Stambhana Karma (Immobilization)","स्तम्भनकर्म — The Paralysing Act","Tantra","Śākta / Ṣaṭ-karma","Advanced","24","41","80","The third of the six ṣaṭ-karma — immobilization. Arresting motion, speech, or intent. Attested in the Agni Purāṇa, Prapañcasāra, Mahānirvāṇa Tantra (stone kalāśa), Todala Tantra (Bagalāmukhī as presiding Mahāvidyā).","the mūla-mantra is dīkṣā-restricted; the Bagalāmukhī bīja hlīṁ is the presiding bīja","Agni Purāṇa → Prapañcasāra → Mahānirvāṇa Tantra → Śāradā Tilaka → Todala Tantra. Academic: Goudriaan & Gupta 1981, Sanderson 2009, Hatley 2018.","Documents the third ṣaṭ-karma — the standalone stambhana category ; Distinguishes the ṣaṭ-karma category from the Bagalāmukhī Mahāvidyā form","HIGH CAUTION — ugra ṣaṭ-karma; traditionally requires dīkṣā ; The Mahānirvāṇa Tantra prescribes the pāṣāṇa (stone) kalāśa ; Not appropriate for practitioners without a Śākta lineage grounding","0",""
    40→"vidveshana-karma","Vidveṣaṇa Karma (Discord-Generation)","विद्वेषणकर्म — The Dividing Act","Tantra","Śākta / Ṣaṭ-karma","Advanced","24","41","78","The fourth of the six ṣaṭ-karma — discord-generation. Creating division between enemies. Attested in the Agni Purāṇa, Prapañcasāra, Mahānirvāṇa Tantra, Brahmayāmala.","the mūla-mantra is dīkṣā-restricted","Agni Purāṇa → Prapañcasāra → Mahānirvāṇa Tantra → Brahmayāmala (Hatley 2018). Academic: Sanderson 2009, Hatley 2018.","Documents the fourth ṣaṭ-karma — the discord-generation category","HIGH CAUTION — ugra ṣaṭ-karma; traditionally requires dīkṣā ; The Mahānirvāṇa Tantra prescribes the iron kalāśa; the Śāradā Tilaka / Mantra Mahodadhi paddhati also documents the procedural constraints ; Not appropriate for practitioners without a Śākta lineage grounding","0",""
